fecha,ciudad,categoría,unidades,precio_unit
2025-01-01,Madrid,Calzado,1,67.82
2025-01-01,Barcelona,Calzado,1,104.36
2025-01-01,Valencia,Accesorios,3,13.65
2025-01-01,Bilbao,Accesorios,1,46.32
2025-01-01,Madrid,Accesorios,3,24.45
2025-01-01,Valencia,Ropa,1,45.82
2025-01-01,Valencia,Calzado,2,37.56
2025-01-01,Madrid,Ropa,4,73.75
2025-01-01,Valencia,Ropa,2,68.84
2025-01-01,Madrid,Ropa,1,49.87
2025-01-01,Madrid,Ropa,3,74.73
2025-01-01,Valencia,Ropa,3,50.73
2025-01-01,Valencia,Calzado,3,101.11
2025-01-01,Bilbao,Ropa,1,76.77
2025-01-01,Valencia,Ropa,3,47.72
2025-01-01,Madrid,Calzado,4,58.81
2025-01-01,Madrid,Calzado,3,96.12
2025-01-01,Bilbao,Ropa,2,42.89
2025-01-01,Valencia,Calzado,1,102.99
2025-01-01,Madrid,Accesorios,3,22.79
2025-01-01,Madrid,Calzado,2,85.05
2025-01-01,Barcelona,Ropa,4,23.29
2025-01-01,Valencia,Ropa,1,61.71
2025-01-01,Madrid,Ropa,1,45.7
2025-01-01,Bilbao,Ropa,1,70.07
2025-01-01,Madrid,Ropa,1,53.65
2025-01-01,Valencia,Ropa,4,47.85
2025-01-01,Barcelona,Ropa,3,79.52
2025-01-01,Madrid,Calzado,4,106.04
2025-01-01,Barcelona,Ropa,2,27.24
2025-01-01,Barcelona,Calzado,2,93.84
2025-01-01,Bilbao,Ropa,4,37.88
2025-01-01,Bilbao,Ropa,2,55.03
2025-01-01,Bilbao,Ropa,1,63.46
2025-01-02,Madrid,Ropa,2,26.56
2025-01-02,Barcelona,Ropa,2,87.84
2025-01-02,Bilbao,Ropa,2,86.45
2025-01-02,Barcelona,Ropa,2,38.53
2025-01-02,Bilbao,Calzado,2,90.47
2025-01-02,Barcelona,Ropa,3,55.41
2025-01-02,Barcelona,Ropa,2,15.01
2025-01-02,Barcelona,Calzado,2,113.66
2025-01-02,Bilbao,Accesorios,4,11.62
2025-01-02,Madrid,Calzado,2,88.32
2025-01-02,Valencia,Calzado,1,68.13
2025-01-02,Valencia,Calzado,2,52.3
2025-01-02,Valencia,Accesorios,3,39.49
2025-01-02,Madrid,Ropa,1,41.69
2025-01-02,Valencia,Ropa,2,51.68
2025-01-02,Barcelona,Calzado,2,52.23
2025-01-02,Valencia,Ropa,3,68.45
2025-01-02,Madrid,Calzado,1,103.3
2025-01-02,Valencia,Calzado,2,70.7
2025-01-03,Madrid,Calzado,3,45.91
2025-01-03,Bilbao,Calzado,4,109.13
2025-01-03,Barcelona,Calzado,2,94.65
2025-01-03,Barcelona,Ropa,1,66.6
2025-01-03,Barcelona,Ropa,2,59.02
2025-01-03,Valencia,Ropa,4,41.4
2025-01-03,Valencia,Calzado,2,35.23
2025-01-03,Barcelona,Calzado,3,78.99
2025-01-03,Valencia,Ropa,3,45.57
2025-01-03,Bilbao,Ropa,3,51.18
2025-01-03,Barcelona,Calzado,3,74.66
2025-01-03,Barcelona,Accesorios,2,29.6
2025-01-03,Barcelona,Ropa,3,39.75
2025-01-03,Barcelona,Ropa,1,85.55
2025-01-03,Madrid,Ropa,1,61.28
2025-01-03,Barcelona,Accesorios,2,30.92
2025-01-03,Barcelona,Calzado,4,115.8
2025-01-03,Valencia,Calzado,2,59.23
2025-01-03,Madrid,Ropa,2,52.05
2025-01-03,Bilbao,Calzado,4,74.51
2025-01-03,Barcelona,Ropa,4,22.76
2025-01-03,Bilbao,Ropa,2,23.64
2025-01-03,Barcelona,Ropa,2,58.98
2025-01-03,Bilbao,Calzado,3,76.54
2025-01-03,Barcelona,Calzado,1,117.82
2025-01-03,Madrid,Calzado,3,90.03
2025-01-04,Madrid,Calzado,1,115.21
2025-01-04,Valencia,Ropa,2,80.44
2025-01-04,Valencia,Calzado,1,94.22
2025-01-04,Barcelona,Ropa,3,17.1
2025-01-04,Madrid,Calzado,3,71.79
2025-01-04,Bilbao,Ropa,1,21.82
2025-01-04,Valencia,Ropa,3,74.43
2025-01-04,Barcelona,Calzado,4,36.84
2025-01-04,Barcelona,Accesorios,1,27.52
2025-01-04,Barcelona,Ropa,4,48.89
2025-01-04,Madrid,Ropa,2,23.75
2025-01-04,Valencia,Ropa,4,49.96
2025-01-04,Bilbao,Ropa,1,41.41
2025-01-04,Valencia,Ropa,4,44.56
2025-01-04,Madrid,Ropa,4,19.48
2025-01-04,Madrid,Calzado,3,38.86
2025-01-04,Madrid,Accesorios,1,53.73
2025-01-04,Madrid,Calzado,3,117.91
2025-01-04,Madrid,Ropa,3,62.65
2025-01-04,Valencia,Ropa,4,20.77
2025-01-05,Barcelona,Accesorios,3,14.11
2025-01-05,Bilbao,Calzado,3,50.23
2025-01-05,Madrid,Ropa,3,87.04
2025-01-05,Madrid,Accesorios,2,22.94
2025-01-05,Barcelona,Calzado,3,83.68
2025-01-05,Valencia,Ropa,1,23.74
2025-01-05,Barcelona,Accesorios,3,32.63
2025-01-05,Barcelona,Calzado,3,61.54
2025-01-05,Valencia,Ropa,4,45.53
2025-01-05,Barcelona,Calzado,2,53.66
2025-01-05,Madrid,Calzado,4,42.53
2025-01-05,Madrid,Accesorios,4,12.82
2025-01-05,Barcelona,Ropa,2,61.84
2025-01-05,Madrid,Ropa,1,55.09
2025-01-05,Barcelona,Accesorios,3,30.57
2025-01-05,Barcelona,Calzado,2,88.06
2025-01-05,Barcelona,Accesorios,2,53.47
2025-01-05,Valencia,Ropa,4,61.89
2025-01-05,Madrid,Calzado,3,115.34
2025-01-05,Madrid,Calzado,2,83.16
2025-01-05,Barcelona,Ropa,2,60.77
2025-01-05,Valencia,Calzado,1,110.73
2025-01-05,Madrid,Calzado,2,103.04
2025-01-05,Barcelona,Calzado,3,52.79
2025-01-05,Barcelona,Ropa,4,78.15
2025-01-05,Barcelona,Ropa,2,33.15
2025-01-05,Madrid,Ropa,3,48.27
2025-01-05,Barcelona,Calzado,3,105.54
2025-01-05,Madrid,Accesorios,1,26.42
2025-01-05,Madrid,Ropa,4,35.37
2025-01-06,Valencia,Accesorios,4,58.45
2025-01-06,Barcelona,Calzado,2,88.94
2025-01-06,Madrid,Ropa,3,45.22
2025-01-06,Valencia,Calzado,1,55.0
2025-01-06,Barcelona,Calzado,3,32.78
2025-01-06,Madrid,Ropa,2,77.48
2025-01-06,Valencia,Ropa,1,60.74
2025-01-06,Valencia,Ropa,3,86.43
2025-01-06,Barcelona,Calzado,4,63.94
2025-01-06,Madrid,Calzado,2,49.58
2025-01-06,Madrid,Ropa,4,29.41
2025-01-06,Barcelona,Calzado,4,34.48
2025-01-06,Barcelona,Calzado,2,100.26
2025-01-06,Barcelona,Ropa,3,86.02
2025-01-06,Valencia,Calzado,1,70.92
2025-01-06,Bilbao,Calzado,2,68.64
2025-01-06,Madrid,Calzado,4,82.28
2025-01-06,Madrid,Calzado,3,102.46
2025-01-06,Valencia,Ropa,3,62.59
2025-01-06,Madrid,Calzado,2,89.7
2025-01-06,Valencia,Accesorios,1,51.81
2025-01-06,Bilbao,Ropa,4,28.81
2025-01-06,Barcelona,Ropa,3,78.45
2025-01-06,Barcelona,Calzado,3,71.26
2025-01-07,Barcelona,Calzado,3,53.17
2025-01-07,Bilbao,Accesorios,1,36.4
2025-01-07,Madrid,Calzado,3,48.13
2025-01-07,Valencia,Ropa,4,16.09
2025-01-07,Valencia,Calzado,1,66.75
2025-01-07,Madrid,Accesorios,1,50.62
2025-01-07,Barcelona,Ropa,1,89.21
2025-01-07,Madrid,Calzado,3,62.3
2025-01-07,Valencia,Ropa,3,40.31
2025-01-07,Madrid,Calzado,4,64.24
2025-01-07,Madrid,Calzado,2,55.04
2025-01-07,Madrid,Ropa,4,64.7
2025-01-07,Valencia,Calzado,4,102.12
2025-01-07,Madrid,Calzado,1,48.76
2025-01-07,Barcelona,Ropa,3,72.57
2025-01-07,Barcelona,Calzado,1,72.47
2025-01-07,Barcelona,Ropa,1,26.82
2025-01-07,Valencia,Accesorios,1,56.46
2025-01-07,Barcelona,Ropa,1,85.38
2025-01-07,Valencia,Calzado,1,86.3
2025-01-07,Madrid,Ropa,2,88.89
2025-01-07,Madrid,Accesorios,3,36.32
2025-01-07,Valencia,Ropa,3,50.36
2025-01-08,Madrid,Calzado,4,40.05
2025-01-08,Barcelona,Calzado,4,58.96
2025-01-08,Barcelona,Ropa,4,15.29
2025-01-08,Barcelona,Accesorios,3,34.12
2025-01-08,Barcelona,Calzado,3,68.98
2025-01-08,Barcelona,Calzado,4,66.44
2025-01-08,Valencia,Ropa,2,75.55
2025-01-08,Madrid,Ropa,3,30.27
2025-01-08,Valencia,Calzado,1,64.34
2025-01-08,Valencia,Ropa,4,23.09
2025-01-08,Valencia,Calzado,3,108.32
2025-01-08,Madrid,Ropa,2,80.16
2025-01-08,Barcelona,Calzado,1,112.58
2025-01-08,Bilbao,Calzado,1,33.01
2025-01-08,Valencia,Calzado,4,68.02
2025-01-08,Barcelona,Calzado,4,48.9
2025-01-08,Barcelona,Ropa,4,79.86
2025-01-08,Madrid,Calzado,4,36.12
2025-01-08,Madrid,Calzado,1,66.79
2025-01-08,Madrid,Ropa,3,52.06
2025-01-08,Madrid,Ropa,3,77.27
2025-01-08,Barcelona,Calzado,4,119.4
2025-01-08,Barcelona,Ropa,2,15.62